EPC,ANTENNA,READ COUNT,READ TIME
000000000000000000003132,2,1,1480229331527
000000000000000000000032,2,1,1480229331531
000000000000000000000032,2,1,1480229331564
000000000000000000003132,2,1,1480229331568
000000000000000000000032,2,1,1480229331600
000000000000000000003132,2,1,1480229331608
000000000000000000003132,2,1,1480229331640
000000000000000000000032,2,1,1480229331644
000000000000000000000032,2,1,1480229331676
000000000000000000003132,2,1,1480229331681
000000000000000000000032,2,1,1480229331714
000000000000000000003132,2,1,1480229331718
000000000000000000003132,2,1,1480229331750
000000000000000000000032,2,1,1480229331754
000000000000000000003132,2,1,1480229331794
000000000000000000000032,2,1,1480229331799
000000000000000000003132,2,1,1480229331830
000000000000000000000032,2,1,1480229331836
000000000000000000000032,2,1,1480229331867
000000000000000000003132,2,1,1480229331875
000000000000000000003132,2,1,1480229331908
000000000000000000000032,2,1,1480229331912
000000000000000000003132,2,1,1480229331944
000000000000000000000032,2,1,1480229331949
000000000000000000000032,2,1,1480229331983
000000000000000000003132,2,1,1480229331987
000000000000000000003132,2,1,1480229332019
000000000000000000000032,2,1,1480229332023
000000000000000000000032,2,1,1480229332071
000000000000000000003132,2,1,1480229332075
000000000000000000003132,2,1,1480229332106
000000000000000000000032,2,1,1480229332110
000000000000000000000032,2,1,1480229332143
000000000000000000003132,2,1,1480229332147
000000000000000000000032,2,1,1480229332180
000000000000000000003132,2,1,1480229332187
000000000000000000003132,2,1,1480229332220
000000000000000000000032,2,1,1480229332225
000000000000000000000032,2,1,1480229332258
000000000000000000003132,2,1,1480229332262
000000000000000000000032,2,1,1480229332295
000000000000000000003132,2,1,1480229332303
000000000000000000000032,2,1,1480229332333
000000000000000000000032,2,1,1480229332367
000000000000000000000032,2,1,1480229332399
000000000000000000000032,2,1,1480229332432
000000000000000000000032,2,1,1480229332465
000000000000000000000032,2,1,1480229332500
000000000000000000000032,2,1,1480229332531
000000000000000000000032,2,1,1480229332565
000000000000000000000032,2,1,1480229332620
000000000000000000000032,2,1,1480229332652
000000000000000000000032,2,1,1480229332687
000000000000000000000032,2,1,1480229332720
000000000000000000000032,2,1,1480229332754
000000000000000000000032,2,1,1480229332788
000000000000000000000032,2,1,1480229332819
000000000000000000000032,2,1,1480229332855
000000000000000000000032,2,1,1480229332884
000000000000000000003132,2,1,1480229332889
000000000000000000000032,2,1,1480229332920
000000000000000000003132,2,1,1480229332926
000000000000000000000032,2,1,1480229332958
000000000000000000003132,2,1,1480229332962
000000000000000000000032,2,1,1480229332995
000000000000000000003132,2,1,1480229333002
000000000000000000000032,2,1,1480229333036
000000000000000000003132,2,1,1480229333040
000000000000000000000032,2,1,1480229333071
000000000000000000003132,2,1,1480229333079
000000000000000000000032,2,1,1480229333113
000000000000000000003132,2,1,1480229333117
000000000000000000000032,2,1,1480229333159
000000000000000000003132,2,1,1480229333163
000000000000000000003132,2,1,1480229333196
000000000000000000000032,2,1,1480229333200
000000000000000000003132,2,1,1480229333231
000000000000000000000032,2,1,1480229333236
000000000000000000003132,2,1,1480229333269
000000000000000000000032,2,1,1480229333274
000000000000000000000032,2,1,1480229333306
000000000000000000003132,2,1,1480229333321
000000000000000000000032,2,1,1480229333352
000000000000000000003132,2,1,1480229333357
000000000000000000000032,2,1,1480229333388
000000000000000000003132,2,1,1480229333421
000000000000000000000032,2,1,1480229333425
000000000000000000000032,2,1,1480229333458
000000000000000000003132,2,1,1480229333465
000000000000000000003132,2,1,1480229333500
000000000000000000000032,2,1,1480229333504
000000000000000000000032,2,1,1480229333536
000000000000000000003132,2,1,1480229333540
000000000000000000000032,2,1,1480229333573
000000000000000000003132,2,1,1480229333577
000000000000000000000032,2,1,1480229333610
000000000000000000003132,2,1,1480229333619
000000000000000000003132,2,1,1480229333650
000000000000000000000032,2,1,1480229333654
000000000000000000000032,2,1,1480229333702
000000000000000000000032,2,1,1480229333736
000000000000000000000032,2,1,1480229333769
000000000000000000000032,2,1,1480229333802
000000000000000000000032,2,1,1480229333836
000000000000000000000032,2,1,1480229333869
000000000000000000000032,2,1,1480229333903
000000000000000000000032,2,1,1480229333936
000000000000000000000032,2,1,1480229333965
000000000000000000003132,2,1,1480229333969
000000000000000000000032,2,1,1480229334003
000000000000000000003132,2,1,1480229334011
000000000000000000000032,2,1,1480229334045
000000000000000000003132,2,1,1480229334058
000000000000000000000032,2,1,1480229334089
000000000000000000003132,2,1,1480229334107
000000000000000000000032,2,1,1480229334140
000000000000000000003132,2,1,1480229334144
000000000000000000003132,2,1,1480229334177
000000000000000000000032,2,1,1480229334182
000000000000000000000032,2,1,1480229334218
